stateHash,stateValue
<SimWorld.SAP object at 0x000001DCB7449908>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB744CA88>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB74517C8>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7457508>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB745B248>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB745BF48>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB744AC88>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB74689C8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB746F908>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB7474648>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB7474F88>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB7479E88>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB747BBC8>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB7487908>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB748E848>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB7494388>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB7494F88>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB7492CC8>,-7.144929
<SimWorld.SAP object at 0x000001DCB749BA08>,-8.019
<SimWorld.SAP object at 0x000001DCB74A6748>,-9.0
<SimWorld.SAP object at 0x000001DCB7403988>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB7403608>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB74B6EC8>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB74BDF88>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB74C2F48>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB74C9D08>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB74B9C08>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB74D4748>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB74DA488>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB74DA508>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB74E0E88>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB74DBBC8>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB74E5908>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB74F2648>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB74F9388>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB74F9F88>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB74FCDC8>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB7501B08>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB7506A48>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB7510788>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB75174C8>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB7517FC8>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB7518D08>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB751DA48>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB7529788>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB752F4C8>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB752FEC8>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB7535F08>,-7.144929
<SimWorld.SAP object at 0x000001DCB753BB48>,-8.019
<SimWorld.SAP object at 0x000001DCB753A888>,-9.0
<SimWorld.SAP object at 0x000001DCB74B2F08>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB754AF48>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB7552E88>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB7558F48>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB755DFC8>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB7564D88>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB755CA88>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB756F7C8>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB7576508>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7576588>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB757DF08>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB756BC48>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7584988>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB758F648>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB7594408>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB7594F48>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB758CE48>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB759BB88>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB75A18C8>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB75AC608>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB7602548>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB7602F88>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB759FD88>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB7607AC8>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB7613808>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB761B548>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB7622288>,-7.144929
<SimWorld.SAP object at 0x000001DCB7622E88>,-8.019
<SimWorld.SAP object at 0x000001DCB7620BC8>,-9.0
<SimWorld.SAP object at 0x000001DCB7547908>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB75474C8>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB763AEC8>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB7642808>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB7649548>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB7649FC8>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB763CFC8>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB764FB08>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB765AA48>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB765A848>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB7667288>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7667F88>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB7654CC8>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB7672A08>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7679748>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB767F408>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB767FE88>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB767BEC8>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB7685C08>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB7690948>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB7696888>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB769F3C8>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB769FF08>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB769EF48>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB76A7B48>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB76AFA88>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB76B75C8>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB76BC308>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB76BCF48>,-7.144929
<SimWorld.SAP object at 0x000001DCB76AEC48>,-8.019
<SimWorld.SAP object at 0x000001DCB76C9988>,-9.0
<SimWorld.SAP object at 0x000001DCB7625C48>,-0.25144982319279935
<SimWorld.SAP object at 0x000001DCB7625808>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB76DA808>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB76E53C8>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB76E5F88>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB76E7F08>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB76EAC08>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB76EF948>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB76FD688>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB76FD708>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB7705EC8>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB7707DC8>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB770CB08>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB7711848>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB771B508>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB77232C8>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB7723FC8>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB7724D08>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB7728A48>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB7733788>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB77396C8>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB7739EC8>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB773FF08>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB7746C48>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB774A988>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB7752648>,-4.503070368700352
