Policy,Eligibility
"[[1], [1, 1], [1, 0, 1], [1, 1, 0, 1], [1, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1], [1, 1, 1], [1, 1], [1]]5,3,5,1",-10.354438739845454
"[[1], [1, 1], [1, 0, 1], [1, 1, 0, 1], [1, 0, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1], [1, 1, 1], [1, 1], [1]]9,0,7,2",-10.406161273533494
"[[1], [1, 1], [1, 0, 1], [1, 1, 0, 1], [1, 0, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1], [1, 0, 1], [0, 1], [1]]3,0,3,2",-10.333752603431762
"[[1], [1, 1], [1, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1], [1, 0, 1], [0, 1], [1]]1,0,3,0",-10.307170346187428
"[[1], [0, 1], [0, 0, 1], [1, 0, 1, 1], [1, 0, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1], [1, 0, 1], [0, 1], [1]]3,2,5,2",-10.313322347820058
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1], [1, 0, 1], [0, 1], [1]]7,1,5,3",-10.29080162374793
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 0, 0, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1], [1, 0, 1], [0, 1], [1]]4,4,4,2",-10.265528233012363
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 1], [1, 1, 0, 0, 1], [1, 0, 1, 1], [1, 0, 1], [0, 1], [1]]6,0,6,2",-10.281245074007616
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 1], [0, 0, 1, 0, 1], [1, 0, 1, 1], [1, 0, 1], [0, 1], [1]]7,3,7,1",-10.231858932490155
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 0, 1, 0, 0], [1, 1, 1, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0], [1, 0, 1], [0, 1], [1]]4,0,2,0",-10.235126125240267
"[[1], [0, 1], [1, 0, 1], [0, 0, 0, 1], [0, 0, 1, 0, 0], [1, 1, 1, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0], [1, 0, 1], [0, 1], [1]]2,2,4,4",-10.258944672940403
"[[1], [0, 1], [1, 0, 0], [0, 0, 0, 0], [0, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0], [1, 0, 1], [0, 1], [1]]0,0,2,2",-10.23062774367714
"[[0], [0, 0], [1, 0, 1], [0, 0, 0, 0], [0, 0, 1, 0, 1], [1, 1, 1, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0], [1, 0, 1], [0, 1], [1]]5,2,3,2",-10.277988667662889
"[[0], [0, 0], [1, 0, 1], [0, 0, 1, 0], [0, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0], [1, 0, 1], [0, 1], [1]]2,2,4,2",-10.281712231419414
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 1, 0, 1], [1, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 0], [1, 0, 1], [0, 1], [1]]9,1,7,3",-10.230011047635287
"[[0], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 1, 0, 1], [1, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1], [1, 0, 0], [0, 0], [1]]4,2,6,3",-10.25848500491023
